Ano;Receita;CresRec;Ebit;Margem_Ebit(%);Deprec;Capex;varcapgiro;
2015;10,224;0.407295251;3,070;0.300273865;1,216;-401.28;1655.79;
2016;9,882;-0.033450704;1,317;0.133272617;1,419;-885.999;-556.27;
2017;10,521;0.06456183;3,258;0.309695817;1,404;-1780.302;396.20;
2018;31701.815;2.013254;11727.092;0.369918631;4200.39827;-2423.698;185.651;
2019;26012.94853;-0.179449236;2628.578;0.101064852;8091.929678;-1820.745;1558.063;
