Ano;DIVIDA_BRUTA(MIL);DespesaJuros;ACOES_(MIL);MARKET_CAP(MIL);Aliqir;dividaspread;crescimentoperp
2019;56531.381;6503.325;1361;49907.87;0.35;1.5;0.03
2020;63684.326;6227.951;1361;53255.93;0.35;1.5;0.03
2021;72899.882;2043.386;1361;79427.96;0.35;1.5;0.03
2022;79628.629;3655.537;1361;80230.95;0.35;1.5;0.03
2023;76059.786;2850.556;1361;65328;0.35;1.5;0.03
