Ano;Receita;CresRec;Ebit;Margem_Ebit(%);Deprec;Margem_Deprec(%);Capex;Margem_Capex(%);varcapgiro
2018;31702;2.013254;11727;0.369918631;4200;0.132497091;-2424;-0.076462053;186
2019;26013;-0.179449236;2629;0.101064852;8092;0.311073144;-1821;-0.069993796;1558
2020;30460;0.170965937;8443;0.277183191;6773;0.222348736;-1322;-0.043402692;-1451
2021;40965;0.344880474;18180;0.443793482;7042;0.171892791;-1025;-0.0250116;3240
2022;47993;0.171557883;20198;0.42085093;7441;0.1550321;-3789;-0.078955601;1458
