Ano;Receita;CresRec;Ebit;Margem_Ebit(%);IR;IR/EBIT;Imobilizado;CresImob;Deprec;Deprec/Imob;Capex;Capex/Imob;varcapgiro
2019;26013;0.935923197;2629;0.101064852;-578;0.219855458;44971;1.642244418;-8053;0.179070957;-1821;0.040492762;-17335
2020;30460;0.170952985;8443;0.277183191;-64;0.007580244;43501;-0.032687732;-6716;0.154387255;-1322;0.030390106;2380
2021;40965;0.344878529;18180;0.443793482;-196;0.010781078;42964;-0.012344544;-7038;0.163811563;-1025;0.023857183;12766
