Ano;Receita;CresRec;Ebit;Margem_Ebit(%);IR;IR/EBIT;Imobilizado;CresImob;Deprec;Deprec/Imob;Capex;Capex/Imob;varcapgiro
2015;10224;0,407295251;3070;0,300273865;-1038;0,338110749;16346;-0,020082729;-1419;0,086810229;-401;0,024531996;-463
2016;9882;-0,033450704;1317;0,133272617;-1559;1,183750949;16235;-0,006790652;-1403;0,086418232;-886;0,054573452;1121
2017;10520;0,06456183;3258;0,309695817;-1790;0,54941682;16211;-0,001478288;-1403;0,086546172;-1780;0,109801986;-1111
2018;13437;0,277281369;5005;0,372478976;-1038;0,207392607;17020;0,049904386;-1563;0,091833137;-2424;0,142420682;21652
2019;26013;0,935923197;2629;0,101064852;-578;0,219855458;44971;1,642244418;-8053;0,179070957;-1821;0,040492762;-17335
