Data;Ultimo;Var%
01 de nov. de 2009;67.044;8.93%
01 de out. de 2009;61.546;0.05%
01 de set. de 2009;61.518;8.90%
01 de ago. de 2009;56.489;3.15%
01 de jul. de 2009;54.766;6.41%
01 de jun. de 2009;51.466;-3.26%
01 de mai. de 2009;53.198;12.49%
01 de abr. de 2009;47.290;15.55%
01 de mar. de 2009;40.926;7.18%
01 de fev. de 2009;38.183;-2.84%
01 de jan. de 2009;39.301;4.66%
01 de dez. de 2008;37.550;2.61%
01 de nov. de 2008;36.596;-1.77%
01 de out. de 2008;37.257;-24.80%
01 de set. de 2008;49.541;-11.03%
01 de ago. de 2008;55.680;-6.43%
01 de jul. de 2008;59.505;-8.48%
01 de jun. de 2008;65.018;-10.43%
01 de mai. de 2008;72.593;6.96%
01 de abr. de 2008;67.868;11.32%
01 de mar. de 2008;60.968;-3.97%
01 de fev. de 2008;63.489;6.72%
01 de jan. de 2008;59.490;-6.88%
01 de dez. de 2007;63.886;1.40%
01 de nov. de 2007;63.006;-3.54%
01 de out. de 2007;65.318;8.03%
01 de set. de 2007;60.465;10.67%
01 de ago. de 2007;54.637;0.84%
01 de jul. de 2007;54.183;-0.38%
01 de jun. de 2007;54.392;4.06%
01 de mai. de 2007;52.268;6.77%
01 de abr. de 2007;48.956;6.88%
01 de mar. de 2007;45.805;4.36%
01 de fev. de 2007;43.892;-1.68%
01 de jan. de 2007;44.642;0.38%
01 de dez. de 2006;44.474;6.06%
01 de nov. de 2006;41.932;6.80%
01 de out. de 2006;39.263;7.72%
01 de set. de 2006;36.449;0.60%
01 de ago. de 2006;36.232;-2.28%
01 de jul. de 2006;37.077;1.22%
01 de jun. de 2006;36.631;0.28%
01 de mai. de 2006;36.530;-9.50%
01 de abr. de 2006;40.363;6.35%
01 de mar. de 2006;37.952;-1.70%
01 de fev. de 2006;38.610;0.59%
01 de jan. de 2006;38.383;14.73%
01 de dez. de 2005;33.456;4.82%
01 de nov. de 2005;31.917;5.71%
01 de out. de 2005;30.194;-4.40%
01 de set. de 2005;31.584;12.62%
01 de ago. de 2005;28.045;7.69%
01 de jul. de 2005;26.042;3.96%
01 de jun. de 2005;25.051;-0.62%
01 de mai. de 2005;25.207;1.46%
01 de abr. de 2005;24.844;-6.64%
01 de mar. de 2005;26.611;-5.43%
01 de fev. de 2005;28.139;15.55%
01 de jan. de 2005;24.353;-7.04%
01 de dez. de 2004;26.196;4.25%
01 de nov. de 2004;25.128;9.01%
01 de out. de 2004;23.052;-0.83%
01 de set. de 2004;23.245;1.94%
01 de ago. de 2004;22.803;2.09%
01 de jul. de 2004;22.337;5.62%
01 de jun. de 2004;21.149;8.21%
01 de mai. de 2004;19.545;-0.32%
01 de abr. de 2004;19.607;-11.45%
01 de mar. de 2004;22.142;1.78%
01 de fev. de 2004;21.755;-0.44%
01 de jan. de 2004;21.851;-1.73%
01 de dez. de 2003;22.236;10.17%
01 de nov. de 2003;20.184;12.25%
01 de out. de 2003;17.982;12.31%
01 de set. de 2003;16.011;5.52%
01 de ago. de 2003;15.174;11.80%
01 de jul. de 2003;13.572;4.62%
01 de jun. de 2003;12.973;-3.35%
01 de mai. de 2003;13.422;6.89%
01 de abr. de 2003;12.557;11.38%
01 de mar. de 2003;11.274;9.66%
01 de fev. de 2003;10.281;-6.03%
01 de jan. de 2003;10.941;-2.90%
01 de dez. de 2002;11.268;7.22%
01 de nov. de 2002;10.509;3.35%
01 de out. de 2002;10.168;17.92%
01 de set. de 2002;8.623;-16.94%
01 de ago. de 2002;10.382;6.34%
01 de jul. de 2002;9.763;-12.35%
01 de jun. de 2002;11.139;-13.39%
01 de mai. de 2002;12.861;-1.71%
01 de abr. de 2002;13.085;-1.28%
01 de mar. de 2002;13.255;-5.54%
01 de fev. de 2002;14.033;10.31%
01 de jan. de 2002;12.721;-6.31%
01 de dez. de 2001;13.578;5.00%
01 de nov. de 2001;12.932;13.79%
01 de out. de 2001;11.365;6.85%
01 de set. de 2001;10.636;-17.17%
01 de ago. de 2001;12.841;-6.64%
01 de jul. de 2001;13.754;-5.54%
01 de jun. de 2001;14.560;-0.61%
01 de mai. de 2001;14.650;-1.80%
01 de abr. de 2001;14.918;3.32%
01 de mar. de 2001;14.438;-9.14%
01 de fev. de 2001;15.891;-10.08%
01 de jan. de 2001;17.673;15.82%
01 de dez. de 2000;15.259;14.84%
01 de nov. de 2000;13.287;-10.63%
01 de out. de 2000;14.867;-6.66%
01 de set. de 2000;15.928;-8.18%
01 de ago. de 2000;17.347;5.42%
01 de jul. de 2000;16.455;-1.63%
01 de jun. de 2000;16.728;11.84%
01 de mai. de 2000;14.957;-3.74%
01 de abr. de 2000;15.538;-12.81%
01 de mar. de 2000;17.820;0.91%
01 de fev. de 2000;17.660;7.76%
01 de jan. de 2000;16.388;-4.12%
01 de dez. de 1999;17.092;24.04%
01 de nov. de 1999;13.779;17.77%
01 de out. de 1999;11.700;5.35%
01 de set. de 1999;11.106;5.12%
01 de ago. de 1999;10.565;1.18%
01 de jul. de 1999;10.442;-10.19%
01 de jun. de 1999;11.627;4.84%
01 de mai. de 1999;11.090;-2.30%
01 de abr. de 1999;11.351;6.12%
01 de mar. de 1999;10.696;20.03%
01 de fev. de 1999;8.911;9.06%
01 de jan. de 1999;8.171;20.45%
01 de dez. de 1998;6.784;-21.40%
01 de nov. de 1998;8.631;22.48%
01 de out. de 1998;7.047;6.89%
01 de set. de 1998;6.593;1.87%
01 de ago. de 1998;6.472;-39.55%
01 de jul. de 1998;10.707;10.63%
01 de jun. de 1998;9.678;-1.72%
01 de mai. de 1998;9.847;-15.67%
01 de abr. de 1998;11.677;-2.26%
01 de mar. de 1998;11.947;13.02%
01 de fev. de 1998;10.571;8.76%
01 de jan. de 1998;9.720;-4.68%
01 de dez. de 1997;10.197;8.54%
01 de nov. de 1997;9.395;4.55%
01 de out. de 1997;8.986;-23.83%
01 de set. de 1997;11.797;11.20%
01 de ago. de 1997;10.609;-17.58%
01 de jul. de 1997;12.872;2.42%
01 de jun. de 1997;12.568;10.78%
01 de mai. de 1997;11.345;13.65%
01 de abr. de 1997;9.982;10.37%
01 de mar. de 1997;9.044;2.44%
01 de fev. de 1997;8.829;10.85%
01 de jan. de 1997;7.965;13.14%
01 de dez. de 1996;7.040;5.61%
01 de nov. de 1996;6.666;2.04%
01 de out. de 1996;6.533;1.33%
01 de set. de 1996;6.447;3.00%
01 de ago. de 1996;6.259;2.22%
01 de jul. de 1996;6.123;1.31%
01 de jun. de 1996;6.044;5.52%
01 de mai. de 1996;5.728;10.92%
01 de abr. de 1996;5.164;4.22%
01 de mar. de 1996;4.955;-0.06%
01 de fev. de 1996;4.958;-3.77%
01 de jan. de 1996;5.152;19.84%
01 de dez. de 1995;4.299;-1.83%
01 de nov. de 1995;4.379;6.08%
01 de out. de 1995;4.128;-11.61%
01 de set. de 1995;4.670;8.33%
01 de ago. de 1995;4.311;11.17%
01 de jul. de 1995;3.878;7.63%
01 de jun. de 1995;3.603;-3.17%
01 de mai. de 1995;3.721;-2.44%
01 de abr. de 1995;3.814;28.03%
01 de mar. de 1995;2.979;-8.93%
01 de fev. de 1995;3.271;-15.80%
01 de jan. de 1995;3.885;-10.77%
